school_code,candidate_code,lw_code,promotion_to_full_professor,candidate_discipline_cip_category_as_numeric,candidate_discipline_stem_status_sbs_included,candidate_urm_num,candidate_gender_num,gender_by_urm_candidate,woman_urm_candidate_num,h_index_at_pt_standardized,number_of_external_grantsawarded_as_the_pi,years_in_present_rank,department_negative_vote_percentage,college_committee_negative_vote_percentage,department_unanimous_vote_abstentions_excluded,college_committee_unanimous_vote_abstentions_excluded,provost_vote,scholarship,tone,clout,authentic,analytic
4,400388,400388a,0,T,1,0,0,Man non-URM,0,-0.237633425,1,6,0.142857143,0,0,1,1,0,36.58,44.9,30.82,91.21
4,400388,400388b,0,T,1,0,0,Man non-URM,0,-0.237633425,1,6,0.142857143,0,0,1,1,0.51,74.41,65.99,5.35,84.88
4,400388,400388c,0,T,1,0,0,Man non-URM,0,-0.237633425,1,6,0.142857143,0,0,1,1,0.43,51.42,59.09,11.91,87.17
4,400388,400388d,0,T,1,0,0,Man non-URM,0,-0.237633425,1,6,0.142857143,0,0,1,1,0.93,44.23,49.6,18.77,87.16
4,400388,400388e,0,T,1,0,0,Man non-URM,0,-0.237633425,1,6,0.142857143,0,0,1,1,0.18,58.79,49.47,38.22,71.31
4,400388,400388f,0,T,1,0,0,Man non-URM,0,-0.237633425,1,6,0.142857143,0,0,1,1,0.42,45.69,19.16,36.92,82.1
4,400388,400388g,0,T,1,0,0,Man non-URM,0,-0.237633425,1,6,0.142857143,0,0,1,1,0,20.23,69.2,1,94.88
4,400388,400388h,0,T,1,0,0,Man non-URM,0,-0.237633425,1,6,0.142857143,0,0,1,1,0.74,73.26,67.37,5.96,89.23
4,400389,400389a,0,P,1,0,0,Man non-URM,0,-0.237633425,2,5,0,0,1,1,1,0,49.93,53.46,20.46,97.81
4,400389,400389b,0,P,1,0,0,Man non-URM,0,-0.237633425,2,5,0,0,1,1,1,0,55,41.95,23.05,97.9
4,400389,400389c,0,P,1,0,0,Man non-URM,0,-0.237633425,2,5,0,0,1,1,1,0,55.38,39.73,31.18,92.25
4,400389,400389d,0,P,1,0,0,Man non-URM,0,-0.237633425,2,5,0,0,1,1,1,0,58.52,24.14,48.66,93.43
4,400389,400389e,0,P,1,0,0,Man non-URM,0,-0.237633425,2,5,0,0,1,1,1,0.17,58.42,51.48,5.01,96.25
4,400389,400389f,0,P,1,0,0,Man non-URM,0,-0.237633425,2,5,0,0,1,1,1,0.09,57.69,44.62,13.58,91.18
4,400389,400389g,0,P,1,0,0,Man non-URM,0,-0.237633425,2,5,0,0,1,1,1,0,82.53,46.15,7.24,93.29
6,600001,600001a,0,V,0,0,1,Woman non-URM,0,-0.91835055,2,7,0,0,1,1,1,0,83.15,27.64,32.39,78.91
6,600001,600001b,0,V,0,0,1,Woman non-URM,0,-0.91835055,2,7,0,0,1,1,1,0,83.15,27.64,32.39,78.91
6,600001,600001c,0,V,0,0,1,Woman non-URM,0,-0.91835055,2,7,0,0,1,1,1,0,47.25,31.51,34.56,58.53
